,NAME,Brand,MC,ZONE,Price_Range
0,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,EAST,79.69090909 - 95.25568182
1,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,NORTH,79.69090909 - 95.25568182
2,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,SOUTH,79.69090909 - 95.25568182
3,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,WEST,79.69090909 - 95.25568182
4,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,EAST,74.95220588 - 95.0
5,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,NORTH,74.95220588 - 95.0
6,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,SOUTH,74.95220588 - 95.0
7,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,WEST,74.95220588 - 95.0
8,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,EAST,38.0 - 45.20852625
9,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,NORTH,38.0 - 45.20852625
10,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,38.0 - 45.20852625
11,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,WEST,38.0 - 45.20852625
12,1014RAW RICE BG 25Kg,COP UNBRANDED,Other Raw Rice,EAST,976.0 - 998.05
13,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,EAST,40.62456901 - 50.0
14,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,NORTH,40.62456901 - 50.0
15,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,SOUTH,40.62456901 - 50.0
16,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,WEST,40.62456901 - 50.0
17,1121 RAW TIBAR BASMATI RICE LOOSE,COP LOOSE,Basmati Tibar Rice,WEST,61.23839813 - 65.99982765
18,AFGHAN RAISINS LOOSE,COP LOOSE,Raisin,EAST,489.0188679 - 986.0048426
19,AFGHAN RAISINS LOOSE,COP LOOSE,Raisin,SOUTH,489.0188679 - 986.0048426
20,AFGHAN RAISINS LOOSE,COP LOOSE,Raisin,WEST,489.0188679 - 986.0048426
21,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,EAST,215.0 - 283.845515
22,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,NORTH,215.0 - 283.845515
23,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,SOUTH,215.0 - 283.845515
24,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,WEST,215.0 - 283.845515
25,AGRIPURE ATTA SAMPOORNA 10kg,AGRI PURE,Wheat Flour,EAST,211.7666667 - 302.5
26,AGRIPURE ATTA SAMPOORNA 10kg,AGRI PURE,Wheat Flour,NORTH,211.7666667 - 302.5
27,AGRIPURE ATTA SAMPOORNA 10kg,AGRI PURE,Wheat Flour,SOUTH,211.7666667 - 302.5
28,AGRIPURE ATTA SAMPOORNA 10kg,AGRI PURE,Wheat Flour,WEST,211.7666667 - 302.5
29,AGRIPURE ATTA SAMPOORNA PP 5kg,AGRI PURE,Wheat Flour,EAST,91.125 - 152.5733064
30,AGRIPURE ATTA SAMPOORNA PP 5kg,AGRI PURE,Wheat Flour,NORTH,91.125 - 152.5733064
31,AGRIPURE ATTA SAMPOORNA PP 5kg,AGRI PURE,Wheat Flour,SOUTH,91.125 - 152.5733064
32,AGRIPURE ATTA SAMPOORNA PP 5kg,AGRI PURE,Wheat Flour,WEST,91.125 - 152.5733064
33,AGRIPURE MATTA UNDA RICE 10kg,AGRI PURE,Double Boiled Rice,SOUTH,430.2026432 - 463.2
34,AGRIPURE MATTA UNDA RICE 5kg,AGRI PURE,Double Boiled Rice,SOUTH,229.3294118 - 287.5
35,AGRIPURE MATTA VADI RICE 5kg,AGRI PURE,Double Boiled Rice,SOUTH,246.96 - 269.8378378
36,AGRIPURE PONNI BOILED SUPREME RICE 10Kg,AGRI PURE,Single Boiled Rice,SOUTH,609.8169492 - 609.8169492
37,AGRIPURE PONNI RAW PREMIUM RICE 10Kg,AGRI PURE,Ponny Raw Rice,SOUTH,539.7877629 - 539.7877629
38,AGRIPURE RICE BOILED MINIKET 10Kg,AGRI PURE,Single Boiled Rice,EAST,421.5115942 - 488.5714286
39,AGRIPURE RICE BOILED RATNA 10Kg,AGRI PURE,Double Boiled Rice,EAST,338.0958904 - 359.3489362
40,AGRIPURE RICE GOVINDBHOG 10kg,AGRI PURE,Fragrant Raw Rice,EAST,736.0470588 - 756.0701754
41,AGRIPURE RICE SONA MASOORI CLASSIC 10Kg,AGRI PURE,Steam Rice,SOUTH,240.0 - 555.2911814
42,AGRIPURE RICE SONA MASOORI PREMIUM 10Kg,AGRI PURE,Sona Masoori Raw Ric,SOUTH,516.0 - 565.0707965
43,AGRIPURE RICE SONA MASOORI STANDRD 10Kg,AGRI PURE,Steam Rice,SOUTH,220.0 - 509.4666667
44,AGRIPURE RICE SONA MASOORI SUPREME 10Kg,AGRI PURE,Sona Masoori Raw Ric,SOUTH,536.0 - 570.8779424
45,AGRIPURE SONA MASOORI CLASSIC RICE 25Kg,AGRI PURE,Steam Rice,SOUTH,1191.891892 - 1800.0
46,AGRIPURE SONA MASOORI STANDRD RICE 25Kg,AGRI PURE,Steam Rice,SOUTH,1139.846756 - 1205.324257
47,AGRIPURE SUREKHA RICE 10kg,AGRI PURE,Double Boiled Rice,SOUTH,408.3514377 - 425.5
48,AGRIPURE SUREKHA RICE 5kg,AGRI PURE,Double Boiled Rice,SOUTH,213.835 - 245.0
49,AJWAIN LOOSE,COP LOOSE,Carrom/Ajwain Whole,EAST,301.0 - 351.9917012
50,AJWAIN LOOSE,COP LOOSE,Carrom/Ajwain Whole,SOUTH,301.0 - 351.9917012
51,AKHROT WHOLE LOOSE,COP LOOSE,Walnut,EAST,216.8 - 649.0434783
52,AKHROT WHOLE LOOSE,COP LOOSE,Walnut,SOUTH,216.8 - 649.0434783
53,AKHROT WHOLE LOOSE,COP LOOSE,Walnut,WEST,216.8 - 649.0434783
54,AMBEMOHAR RICE BG 20Kg,COP UNBRANDED,Fragrant Raw Rice,WEST,1232.709091 - 1402.0
55,AMERCIAN ALMONDS LOOSE,COP LOOSE,Almond,EAST,500.0 - 990.0
56,AMERCIAN ALMONDS LOOSE,COP LOOSE,Almond,NORTH,500.0 - 990.0
57,AMERCIAN ALMONDS LOOSE,COP LOOSE,Almond,SOUTH,500.0 - 990.0
58,AMERCIAN ALMONDS LOOSE,COP LOOSE,Almond,WEST,500.0 - 990.0
59,AMERICAN ALMOND SELECTD LOOSE,GOLDEN HARVEST,Almond,SOUTH,220.0 - 220.0
60,ANJEER SUPREMS LOOSE,COP LOOSE,Dried Fig,WEST,1486.939655 - 1762.860223
61,APRICOT GIRI LOOSE,COP LOOSE,Other Dried Fruits,EAST,346.4935065 - 1538.039216
62,APRICOT GIRI LOOSE,COP LOOSE,Other Dried Fruits,SOUTH,346.4935065 - 1538.039216
63,APRICOT GIRI LOOSE,COP LOOSE,Other Dried Fruits,WEST,346.4935065 - 1538.039216
64,APRICOT WHOLE LOOSE,COP LOOSE,Other Dried Fruits,EAST,158.0 - 1379.329844
65,APRICOT WHOLE LOOSE,COP LOOSE,Other Dried Fruits,NORTH,158.0 - 1379.329844
66,APRICOT WHOLE LOOSE,COP LOOSE,Other Dried Fruits,SOUTH,158.0 - 1379.329844
67,APRICOT WHOLE LOOSE,COP LOOSE,Other Dried Fruits,WEST,158.0 - 1379.329844
68,ARWA KATARNI PREMIUM LOOSE,COP LOOSE,Kolam Raw Rice,EAST,26.5 - 52.55807128
69,ARWA KATARNI PREMIUM LOOSE,COP LOOSE,Kolam Raw Rice,SOUTH,26.5 - 52.55807128
70,ARWA KATARNI PREMIUM RICE BG 25Kg,COP UNBRANDED,Kolam Raw Rice,EAST,1179.0 - 1202.52809
71,ARWA KATARNI STANDARD LOOSE,COP LOOSE,Kolam Raw Rice,EAST,32.29032258 - 43.98008786
72,ARWA KATARNI STANDARD LOOSE,COP LOOSE,Kolam Raw Rice,NORTH,32.29032258 - 43.98008786
73,ARWA KATARNI STANDARD LOOSE,COP LOOSE,Kolam Raw Rice,SOUTH,32.29032258 - 43.98008786
74,ARWA KATARNI STANDARD LOOSE,COP LOOSE,Kolam Raw Rice,WEST,32.29032258 - 43.98008786
75,ARWA KATARNI STANDARD RICE BG 25Kg,COP UNBRANDED,Kolam Raw Rice,EAST,951.0 - 1027.0
76,ARWA MASOORI STANDARD LOOSE,COP LOOSE,Kolam Raw Rice,EAST,16.0 - 29.5761588
77,ARWA MASOORI STANDARD LOOSE,COP LOOSE,Kolam Raw Rice,SOUTH,16.0 - 29.5761588
78,ARWA SONACHUR PREMIUM LOOSE,COP LOOSE,Kolam Raw Rice,EAST,35.22580645 - 63.17953758
79,ARWA SONACHUR PREMIUM LOOSE,COP LOOSE,Kolam Raw Rice,NORTH,35.22580645 - 63.17953758
80,ARWA SONACHUR PREMIUM LOOSE,COP LOOSE,Kolam Raw Rice,SOUTH,35.22580645 - 63.17953758
81,ARWA SONACHUR PREMIUM LOOSE,COP LOOSE,Kolam Raw Rice,WEST,35.22580645 - 63.17953758
82,ARWA SONACHUR PREMIUM RICE BG 25Kg,COP UNBRANDED,Kolam Raw Rice,EAST,1527.0 - 1712.0
83,ARWA SONACHUR STD LOOSE,COP LOOSE,Kolam Raw Rice,EAST,34.0 - 37.76951673
84,ARWA SONACHUR STD LOOSE,COP LOOSE,Kolam Raw Rice,SOUTH,34.0 - 37.76951673
85,ATTA LOOSE,COP LOOSE,Wheat Flour,SOUTH,16.45829152 - 23.79517064
86,ATTA LOOSE,COP LOOSE,Wheat Flour,WEST,16.45829152 - 23.79517064
87,ATTA WHOLE WHEAT LOOSE,COP LOOSE,Wheat Flour,EAST,13.25059571 - 22.0
88,ATTA WHOLE WHEAT LOOSE,COP LOOSE,Wheat Flour,WEST,13.25059571 - 22.0
89,AVALAKKI THICK LOOSE,COP LOOSE,Poha/Avalakki/Chirwa,EAST,27.0 - 46.21858272
90,AVALAKKI THICK LOOSE,COP LOOSE,Poha/Avalakki/Chirwa,NORTH,27.0 - 46.21858272
91,AVALAKKI THICK LOOSE,COP LOOSE,Poha/Avalakki/Chirwa,SOUTH,27.0 - 46.21858272
92,BADAM MAMRA LOOSE,COP LOOSE,Almond,NORTH,1700.0 - 3840.0
93,BADAM MAMRA LOOSE,COP LOOSE,Almond,SOUTH,1700.0 - 3840.0
94,BADAM PREMIUM LOOSE,COP LOOSE,Almond,NORTH,139.0 - 1139.749511
95,BADAM PREMIUM LOOSE,COP LOOSE,Almond,SOUTH,139.0 - 1139.749511
96,BADAM PREMIUM LOOSE,COP LOOSE,Almond,WEST,139.0 - 1139.749511
97,BADIYAN LOOSE,COP LOOSE,Other Whole Spices,EAST,176.6755556 - 325.0
98,BADIYAN LOOSE,COP LOOSE,Other Whole Spices,SOUTH,176.6755556 - 325.0
99,BADIYAN LOOSE,COP LOOSE,Other Whole Spices,WEST,176.6755556 - 325.0
100,BAJRA PREMIUM LOOSE,COP LOOSE,Millets,NORTH,23.62718133 - 38.65388723
101,BAJRA PREMIUM LOOSE,COP LOOSE,Millets,SOUTH,23.62718133 - 38.65388723
102,BAJRA PREMIUM LOOSE,COP LOOSE,Millets,WEST,23.62718133 - 38.65388723
103,BAJRA STANDARD LOOSE,COP LOOSE,Millets,EAST,16.99690402 - 36.90841196
104,BAJRA STANDARD LOOSE,COP LOOSE,Millets,SOUTH,16.99690402 - 36.90841196
105,BAJRA STANDARD LOOSE,COP LOOSE,Millets,WEST,16.99690402 - 36.90841196
106,BALAMI RICE BG 25Kg,COP UNBRANDED,Double Boiled Rice,EAST,866.0 - 866.8255357
107,BARBATI LOOSE,COP LOOSE,Chawli Whole,EAST,44.0 - 93.00056731
108,BARBATI LOOSE,COP LOOSE,Chawli Whole,NORTH,44.0 - 93.00056731
109,BARBATI LOOSE,COP LOOSE,Chawli Whole,WEST,44.0 - 93.00056731
110,BARLEY LOOSE,COP LOOSE,Millets,EAST,21.99801193 - 73.60543657
111,BARLEY LOOSE,COP LOOSE,Millets,NORTH,21.99801193 - 73.60543657
112,BARLEY LOOSE,COP LOOSE,Millets,SOUTH,21.99801193 - 73.60543657
113,BARLEY LOOSE,COP LOOSE,Millets,WEST,21.99801193 - 73.60543657
114,BARNYARD MILLET LOOSE,COP LOOSE,Millets,NORTH,58.65322581 - 199.0044444
115,BARNYARD MILLET LOOSE,COP LOOSE,Millets,SOUTH,58.65322581 - 199.0044444
116,BARNYARD MILLET LOOSE,COP LOOSE,Millets,WEST,58.65322581 - 199.0044444
117,BASKATI SUPREME BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,EAST,26.99943598 - 495.3417057
118,BASKATI SUPREME BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,NORTH,26.99943598 - 495.3417057
119,BASKATI SUPREME BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,26.99943598 - 495.3417057
120,BASKATI SUPREME BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,WEST,26.99943598 - 495.3417057
121,BASKATI SUPRME RICE BG 25Kg,COP UNBRANDED,Double Boiled Rice,EAST,1027.598473 - 1027.598473
122,BASKATIRICE 10Kg,COP UNBRANDED,Double Boiled Rice,EAST,416.0 - 416.0
123,BASMATI KRT PREMIUM BAG 25Kg,COP UNBRANDED,Economy Rice,EAST,1903.392276 - 1922.0
124,BASMATI MOGRA RICE BG 10Kg,COP UNBRANDED,Economy Rice,WEST,479.4081347 - 552.5759312
125,BASMATI RICE ASIANA LOOSE,COP LOOSE,Basmati Head Grain R,EAST,46.00001204 - 47.81880523
126,BASMATI RICE DUBAR LOOSE,COP LOOSE,Basmati Dubar Rice,EAST,31.99933906 - 68.90347736
127,BASMATI RICE DUBAR LOOSE,COP LOOSE,Basmati Dubar Rice,NORTH,31.99933906 - 68.90347736
128,BASMATI RICE DUBAR LOOSE,COP LOOSE,Basmati Dubar Rice,SOUTH,31.99933906 - 68.90347736
129,BASMATI RICE DUBAR LOOSE,COP LOOSE,Basmati Dubar Rice,WEST,31.99933906 - 68.90347736
130,BASMATI RICE HAR ROJ LOOSE,COP LOOSE,Basmati Broken Rice,WEST,38.00000376 - 39.78859879
131,BASMATI RICE KRT BROKEN LOOSE,COP LOOSE,Basmati Broken Rice,EAST,19.78378378 - 36.01606101
132,BASMATI RICE KRT BROKEN LOOSE,COP LOOSE,Basmati Broken Rice,NORTH,19.78378378 - 36.01606101
133,BASMATI RICE KRT BROKEN LOOSE,COP LOOSE,Basmati Broken Rice,SOUTH,19.78378378 - 36.01606101
134,BASMATI RICE KRT BROKEN LOOSE,COP LOOSE,Basmati Broken Rice,WEST,19.78378378 - 36.01606101
135,BASMATI RICE MOGRA BG 20Kg,COP UNBRANDED,Basmati Broken Rice,WEST,886.7608696 - 920.25
136,BASMATI RICE MOHANBHOG LOOSE,COP LOOSE,Other Raw Rice,EAST,32.69635628 - 70.75938354
137,BASMATI RICE MOHANBHOG LOOSE,COP LOOSE,Other Raw Rice,NORTH,32.69635628 - 70.75938354
138,BASMATI RICE MOHANBHOG LOOSE,COP LOOSE,Other Raw Rice,SOUTH,32.69635628 - 70.75938354
139,BASMATI RICE MOHANBHOG LOOSE,COP LOOSE,Other Raw Rice,WEST,32.69635628 - 70.75938354
140,BASMATI RICE PUSA BASMATI LOOSE,GOLDEN HARVEST,Basmati Head Grain R,WEST,70.29 - 70.29190207
141,BASMATI RICE REGULAR NEW LOOSE,COP LOOSE,Basmati Head Grain R,SOUTH,89.71418862 - 94.50013079
142,BASMATI RICE REGULAR NEW LOOSE,COP LOOSE,Basmati Head Grain R,WEST,89.71418862 - 94.50013079
143,BASMATI RICE TUKDA LOOSE,GOLDEN HARVEST,Basmati Dubar Rice,EAST,33.16 - 57.28881128
144,BASMATI RICE TUKDA LOOSE,GOLDEN HARVEST,Basmati Dubar Rice,NORTH,33.16 - 57.28881128
145,BASMATI RICE TUKRA BAG 25Kg,COP UNBRANDED,Economy Rice,EAST,773.0 - 791.0
146,BASMATI RICE UKDA THIN LOOSE,GOLDEN HARVEST,Double Boiled Rice,NORTH,14.85074627 - 14.85074627
147,BASMATI SELLA RICE TIBAR LOOSE,COP LOOSE,Single Boiled Rice,EAST,74.57986915 - 74.57986915
148,BEMISAL DUBAR LOOSE,COP LOOSE,Basmati Dubar Rice,NORTH,53.0577141 - 58.12729706
149,BEMISAL DUBAR LOOSE,COP LOOSE,Basmati Dubar Rice,WEST,53.0577141 - 58.12729706
150,BEMISAL REGULAR LOOSE,COP LOOSE,Basmati Head Grain R,NORTH,58.48633962 - 82.0
151,BEMISAL REGULAR LOOSE,COP LOOSE,Basmati Head Grain R,WEST,58.48633962 - 82.0
152,BEMISAL TINY MOGRA LOOSE,COP LOOSE,Basmati Broken Rice,NORTH,26.2355562 - 30.43572827
153,BEMISAL TINY MOGRA LOOSE,COP LOOSE,Basmati Broken Rice,WEST,26.2355562 - 30.43572827
154,BENGAL JOHA RAW RICE BAG 25Kg,COP UNBRANDED,Fragrant Raw Rice,EAST,1661.0 - 1661.0
155,BENGAL JOHA RICE 10Kg,COP UNBRANDED,Fragrant Raw Rice,EAST,734.0 - 734.0
156,BESAN 1Kg,COP UNBRANDED,Besan,EAST,67.22939237 - 84.4789745
157,BESAN 1Kg,COP UNBRANDED,Besan,NORTH,67.22939237 - 84.4789745
158,BESAN 1Kg,COP UNBRANDED,Besan,SOUTH,67.22939237 - 84.4789745
159,BESAN 1Kg,COP UNBRANDED,Besan,WEST,67.22939237 - 84.4789745
160,BESAN 500g,COP UNBRANDED,Besan,EAST,35.3286927 - 43.37470356
161,BESAN 500g,COP UNBRANDED,Besan,NORTH,35.3286927 - 43.37470356
162,BESAN 500g,COP UNBRANDED,Besan,SOUTH,35.3286927 - 43.37470356
163,BESAN 500g,COP UNBRANDED,Besan,WEST,35.3286927 - 43.37470356
164,BESAN LOOSE,COP LOOSE,Besan,EAST,25.00098522 - 52.74076157
165,BESAN LOOSE,COP LOOSE,Besan,NORTH,25.00098522 - 52.74076157
166,BESAN LOOSE,COP LOOSE,Besan,WEST,25.00098522 - 52.74076157
167,BIG MUSTRD LOOSE,COP LOOSE,Mustard/Rai Whole,EAST,58.51195815 - 131.7351101
168,BIG MUSTRD LOOSE,COP LOOSE,Mustard/Rai Whole,SOUTH,58.51195815 - 131.7351101
169,BIG MUSTRD LOOSE,COP LOOSE,Mustard/Rai Whole,WEST,58.51195815 - 131.7351101
170,BIG SAUNF LOOSE,COP LOOSE,Fennel/Saunf Whole,EAST,194.0 - 314.8609179
171,BIG SAUNF LOOSE,COP LOOSE,Fennel/Saunf Whole,WEST,194.0 - 314.8609179
172,BLACK CHIA SEEDS LOOSE,COP LOOSE,Seeds & Super food,NORTH,525.0 - 971.6222867
173,BLACK CHIA SEEDS LOOSE,COP LOOSE,Seeds & Super food,SOUTH,525.0 - 971.6222867
174,BLACK CHIA SEEDS LOOSE,COP LOOSE,Seeds & Super food,WEST,525.0 - 971.6222867
175,BLACK KISHMIS LOOSE,COP LOOSE,Raisin,SOUTH,325.0 - 630.0
176,BLACK KISHMIS LOOSE,COP LOOSE,Raisin,WEST,325.0 - 630.0
177,BLACK PEPPER CASHEW LOOSE,COP LOOSE,Flavoured Cashew,EAST,1281.995033 - 1282.003484
178,BLACK TIL LOOSE,COP LOOSE,Sesame/Til Whole,EAST,90.0 - 361.0031153
179,BLACK TIL LOOSE,COP LOOSE,Sesame/Til Whole,NORTH,90.0 - 361.0031153
180,BLACK TIL LOOSE,COP LOOSE,Sesame/Til Whole,SOUTH,90.0 - 361.0031153
181,BLACK TIL LOOSE,COP LOOSE,Sesame/Til Whole,WEST,90.0 - 361.0031153
182,BLK CARDAMM LOOSE,COP LOOSE,Cardamom/Elaichi Who,EAST,210.0 - 2925.0
183,BLK CARDAMM LOOSE,COP LOOSE,Cardamom/Elaichi Who,NORTH,210.0 - 2925.0
184,BLK CARDAMM LOOSE,COP LOOSE,Cardamom/Elaichi Who,SOUTH,210.0 - 2925.0
185,BLK CARDAMM LOOSE,COP LOOSE,Cardamom/Elaichi Who,WEST,210.0 - 2925.0
186,BLK PEPPER LOOSE,COP LOOSE,Pepper/Kali Mirch Wh,EAST,578.262589 - 1340.890411
187,BLK PEPPER LOOSE,COP LOOSE,Pepper/Kali Mirch Wh,NORTH,578.262589 - 1340.890411
188,BLK PEPPER LOOSE,COP LOOSE,Pepper/Kali Mirch Wh,SOUTH,578.262589 - 1340.890411
189,BN20RAW RICE LOOSE,COP LOOSE,Other Raw Rice,EAST,18.0 - 44.97064194
190,BN20RAW RICE LOOSE,COP LOOSE,Other Raw Rice,SOUTH,18.0 - 44.97064194
191,BOILD RC KURUVA WHTE SNGL LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,38.64118502 - 43.000306
192,BOILD RICE CHEAP AND BEST LOOSE,COP LOOSE,Double Boiled Rice,EAST,23.99762752 - 49.31493141
193,BOILD RICE CHEAP AND BEST LOOSE,COP LOOSE,Double Boiled Rice,NORTH,23.99762752 - 49.31493141
194,BOILD RICE CHEAP AND BEST LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,23.99762752 - 49.31493141
195,BOILD RICE CHEAP AND BEST LOOSE,COP LOOSE,Double Boiled Rice,WEST,23.99762752 - 49.31493141
196,BOILD RICE SUREKHA DOUBLE LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,16.89361702 - 42.12663663
197,BOILED BALAMI RICE LOOSE,COP LOOSE,Double Boiled Rice,EAST,32.0 - 40.31149115
198,BOILED BALAMI RICE LOOSE,COP LOOSE,Double Boiled Rice,NORTH,32.0 - 40.31149115
199,BOILED BALAMI RICE LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,32.0 - 40.31149115
200,BOILED BALAMI RICE LOOSE,COP LOOSE,Double Boiled Rice,WEST,32.0 - 40.31149115
201,BOILED KOLAM LOOSE,COP LOOSE,Single Boiled Rice,SOUTH,35.0 - 35.00564972
202,BOILED RC CHERUMANI DOUBL LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,32.58956735 - 37.84519737
203,BOILED RC CHNKL PETTU SNG LOOSE,COP LOOSE,Single Boiled Rice,SOUTH,13.99960498 - 41.46233897
204,BOILED RC N SANKAR PREM LOOSE,GOLDEN HARVEST,Single Boiled Rice,EAST,21.9955157 - 22.0
205,BOILED RC N SANKAR PREM LOOSE,GOLDEN HARVEST,Single Boiled Rice,NORTH,21.9955157 - 22.0
206,BOILED RC N SANKAR PREM LOOSE,GOLDEN HARVEST,Single Boiled Rice,SOUTH,21.9955157 - 22.0
207,BOILED RC ROSE DOUBL UNDA LOOSE,COP LOOSE,Double Boiled Rice,NORTH,16.49801587 - 46.24184376
208,BOILED RC ROSE DOUBL UNDA LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,16.49801587 - 46.24184376
209,BOILED RC ROSE DOUBL UNDA LOOSE,COP LOOSE,Double Boiled Rice,WEST,16.49801587 - 46.24184376
210,BOILED RICE AIJAN LOOSE,GOLDEN HARVEST,Single Boiled Rice,EAST,29.0 - 29.0
211,BOILED RICE ASIANA BAG 25kg,COP UNBRANDED,Double Boiled Rice,EAST,1094.375 - 1101.0
212,BOILED RICE CHEAP N BEST BAG 25Kg,COP UNBRANDED,Single Boiled Rice,EAST,1338.0 - 1345.0
213,BOILED RICE DOPPI SINGLE LOOSE,COP LOOSE,Single Boiled Rice,SOUTH,33.37155531 - 37.99999591
214,BOILED RICE DUBAR LOOSE,COP LOOSE,Double Boiled Rice,EAST,28.0 - 55.0
215,BOILED RICE DUBAR LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,28.0 - 55.0
216,BOILED RICE DUBAR LOOSE,COP LOOSE,Double Boiled Rice,WEST,28.0 - 55.0
217,BOILED RICE JAYA DOUBLE LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,26.90282132 - 42.00001786
218,BOILED RICE JAYA DOUBLE LOOSE,COP LOOSE,Double Boiled Rice,WEST,26.90282132 - 42.00001786
219,BOILED RICE KERALA LOOSE,GOLDEN HARVEST,Single Boiled Rice,NORTH,29.0 - 29.0
220,BOILED RICE LAXMIBHOG LOOSE,COP LOOSE,Double Boiled Rice,EAST,29.0 - 49.95183504
221,BOILED RICE LAXMIBHOG LOOSE,COP LOOSE,Double Boiled Rice,NORTH,29.0 - 49.95183504
222,BOILED RICE LAXMIBHOG LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,29.0 - 49.95183504
223,BOILED RICE N SANKAR STD LOOSE,GOLDEN HARVEST,Single Boiled Rice,SOUTH,23.99936468 - 24.002849
224,BOILED RICE N SANKAR STD LOOSE,GOLDEN HARVEST,Single Boiled Rice,WEST,23.99936468 - 24.002849
225,BOILED RICE PARIMAL SELLA LOOSE,COP LOOSE,Double Boiled Rice,NORTH,30.0 - 54.71190021
226,BOILED RICE PARIMAL SELLA LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,30.0 - 54.71190021
227,BOILED RICE PONNY SUPR LOOSE,COP LOOSE,Single Boiled Rice,SOUTH,48.15681914 - 60.92137724
228,BOILED RICE REGULAR LOOSE,GOLDEN HARVEST,Single Boiled Rice,NORTH,26.0 - 26.00104275
229,BOILED RICE REGULAR LOOSE,GOLDEN HARVEST,Single Boiled Rice,SOUTH,26.0 - 26.00104275
230,BOILED RICE ROSE DOUBLE LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,16.0 - 49.65037635
231,BOILED RICE ROSE DOUBLE LOOSE,COP LOOSE,Double Boiled Rice,WEST,16.0 - 49.65037635
232,BOILED RICE WHITE GIDDA PREMUM LOOSE,GOLDEN HARVEST,Single Boiled Rice,NORTH,39.05425783 - 42.0
233,BOILED RICE WHITE GIDDA PREMUM LOOSE,GOLDEN HARVEST,Single Boiled Rice,SOUTH,39.05425783 - 42.0
234,BPT RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,EAST,19.59573273 - 48.07461505
235,BPT RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,NORTH,19.59573273 - 48.07461505
236,BPT RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,SOUTH,19.59573273 - 48.07461505
237,BPT REG LOOSE,COP LOOSE,Kolam Raw Rice,EAST,31.0 - 49.67945413
238,BPT REG LOOSE,COP LOOSE,Kolam Raw Rice,NORTH,31.0 - 49.67945413
239,BPT REG LOOSE,COP LOOSE,Kolam Raw Rice,WEST,31.0 - 49.67945413
240,BPT RICE BG 25Kg,COP UNBRANDED,Kolam Raw Rice,EAST,1006.203617 - 1064.213028
241,BROWN FLAX SEEDS LOOSE,COP LOOSE,Seeds & Super food,EAST,88.00070627 - 207.6456876
242,BROWN FLAX SEEDS LOOSE,COP LOOSE,Seeds & Super food,NORTH,88.00070627 - 207.6456876
243,BROWN FLAX SEEDS LOOSE,COP LOOSE,Seeds & Super food,SOUTH,88.00070627 - 207.6456876
244,BROWN FLAX SEEDS LOOSE,COP LOOSE,Seeds & Super food,WEST,88.00070627 - 207.6456876
245,BROWN RICE LOOSE,COP LOOSE,Health Rice,EAST,69.20477502 - 115.3069894
246,BROWN RICE LOOSE,COP LOOSE,Health Rice,NORTH,69.20477502 - 115.3069894
247,BROWN RICE LOOSE,COP LOOSE,Health Rice,SOUTH,69.20477502 - 115.3069894
