,Unnamed: 0,NAME,Brand,MC,ZONE,Price_Range
121,2986,GH WHO SPICE CLOVE 50g,GOLDEN HARVEST,Clove/Laung Whole,NORTH,78.28300147 - 118.0758393
122,2987,GH WHO SPICE CLOVE 50g,GOLDEN HARVEST,Clove/Laung Whole,SOUTH,78.28300147 - 118.0758393
123,2988,GH WHO SPICE CLOVE 50g,GOLDEN HARVEST,Clove/Laung Whole,WEST,78.28300147 - 118.0758393
124,4649,NATURE CHOICE ROYALE DATES PP 500g,NATURES CHOICE,Dates,EAST,142.9046185 - 207.2297629
125,4650,NATURE CHOICE ROYALE DATES PP 500g,NATURES CHOICE,Dates,NORTH,142.9046185 - 207.2297629
126,4651,NATURE CHOICE ROYALE DATES PP 500g,NATURES CHOICE,Dates,SOUTH,142.9046185 - 207.2297629
127,4652,NATURE CHOICE ROYALE DATES PP 500g,NATURES CHOICE,Dates,WEST,142.9046185 - 207.2297629
128,4157,KARMIQ WALNUT WHOLE PP 1Kg,KARMIQ,Walnut,EAST,485.7692308 - 1103.863719
129,4158,KARMIQ WALNUT WHOLE PP 1Kg,KARMIQ,Walnut,NORTH,485.7692308 - 1103.863719
130,4159,KARMIQ WALNUT WHOLE PP 1Kg,KARMIQ,Walnut,SOUTH,485.7692308 - 1103.863719
131,4160,KARMIQ WALNUT WHOLE PP 1Kg,KARMIQ,Walnut,WEST,485.7692308 - 1103.863719
132,4102,KARMIQ ROSTD & SLTD IRANI PISTA PP 200g,KARMIQ,Flavoured Pista,EAST,180.9931501 - 395.3861066
133,4103,KARMIQ ROSTD & SLTD IRANI PISTA PP 200g,KARMIQ,Flavoured Pista,NORTH,180.9931501 - 395.3861066
134,4104,KARMIQ ROSTD & SLTD IRANI PISTA PP 200g,KARMIQ,Flavoured Pista,SOUTH,180.9931501 - 395.3861066
135,4105,KARMIQ ROSTD & SLTD IRANI PISTA PP 200g,KARMIQ,Flavoured Pista,WEST,180.9931501 - 395.3861066
136,1037,FRESH & PURE SUNFLOWER OIL PP 1L,FRESH & PURE,Sunflower Oil,EAST,35.78932058 - 106.3435673
137,1038,FRESH & PURE SUNFLOWER OIL PP 1L,FRESH & PURE,Sunflower Oil,NORTH,35.78932058 - 106.3435673
138,1039,FRESH & PURE SUNFLOWER OIL PP 1L,FRESH & PURE,Sunflower Oil,SOUTH,35.78932058 - 106.3435673
139,1040,FRESH & PURE SUNFLOWER OIL PP 1L,FRESH & PURE,Sunflower Oil,WEST,35.78932058 - 106.3435673
140,2833,GH URAD DAL CHLK 500g,GOLDEN HARVEST,Urad Chilka,EAST,42.44130769 - 74.54692547
141,2834,GH URAD DAL CHLK 500g,GOLDEN HARVEST,Urad Chilka,NORTH,42.44130769 - 74.54692547
142,2835,GH URAD DAL CHLK 500g,GOLDEN HARVEST,Urad Chilka,SOUTH,42.44130769 - 74.54692547
143,2836,GH URAD DAL CHLK 500g,GOLDEN HARVEST,Urad Chilka,WEST,42.44130769 - 74.54692547
144,1743,GH MATKI WHOLE 500g,GOLDEN HARVEST,Other Whole Pulses,EAST,36.63085106 - 55.66392216
145,1744,GH MATKI WHOLE 500g,GOLDEN HARVEST,Other Whole Pulses,NORTH,36.63085106 - 55.66392216
146,1745,GH MATKI WHOLE 500g,GOLDEN HARVEST,Other Whole Pulses,SOUTH,36.63085106 - 55.66392216
147,1746,GH MATKI WHOLE 500g,GOLDEN HARVEST,Other Whole Pulses,WEST,36.63085106 - 55.66392216
148,4161,KARMIQ WALNUT WHOLE PP 500g,KARMIQ,Walnut,EAST,183.627451 - 476.6645963
149,4162,KARMIQ WALNUT WHOLE PP 500g,KARMIQ,Walnut,NORTH,183.627451 - 476.6645963
150,4163,KARMIQ WALNUT WHOLE PP 500g,KARMIQ,Walnut,SOUTH,183.627451 - 476.6645963
151,4164,KARMIQ WALNUT WHOLE PP 500g,KARMIQ,Walnut,WEST,183.627451 - 476.6645963
152,956,EKTAA UJJAINI POHA PP 500g,EKTAA,Poha/Avalakki/Chirwa,EAST,29.17759285 - 49.23417722
153,957,EKTAA UJJAINI POHA PP 500g,EKTAA,Poha/Avalakki/Chirwa,NORTH,29.17759285 - 49.23417722
154,958,EKTAA UJJAINI POHA PP 500g,EKTAA,Poha/Avalakki/Chirwa,SOUTH,29.17759285 - 49.23417722
155,959,EKTAA UJJAINI POHA PP 500g,EKTAA,Poha/Avalakki/Chirwa,WEST,29.17759285 - 49.23417722
156,4431,MOTHER EARTH BROWN RICE 1Kg,MOTHER EARTH,Health Rice,EAST,99.46153846 - 203.7931034
157,4432,MOTHER EARTH BROWN RICE 1Kg,MOTHER EARTH,Health Rice,NORTH,99.46153846 - 203.7931034
158,4433,MOTHER EARTH BROWN RICE 1Kg,MOTHER EARTH,Health Rice,SOUTH,99.46153846 - 203.7931034
159,4434,MOTHER EARTH BROWN RICE 1Kg,MOTHER EARTH,Health Rice,WEST,99.46153846 - 203.7931034
160,3863,KARMIQ BLK SEEDLESS AFGHN RAISIN TN 100g,KARMIQ,Raisin,EAST,53.89142857 - 145.0
161,3864,KARMIQ BLK SEEDLESS AFGHN RAISIN TN 100g,KARMIQ,Raisin,NORTH,53.89142857 - 145.0
162,3865,KARMIQ BLK SEEDLESS AFGHN RAISIN TN 100g,KARMIQ,Raisin,SOUTH,53.89142857 - 145.0
163,3866,KARMIQ BLK SEEDLESS AFGHN RAISIN TN 100g,KARMIQ,Raisin,WEST,53.89142857 - 145.0
164,578,DESI ATTA DAHI VADA MIX 200g,DESI ATTA,North Indian Mixes,EAST,42.10810811 - 65.11607143
165,579,DESI ATTA DAHI VADA MIX 200g,DESI ATTA,North Indian Mixes,NORTH,42.10810811 - 65.11607143
166,580,DESI ATTA DAHI VADA MIX 200g,DESI ATTA,North Indian Mixes,SOUTH,42.10810811 - 65.11607143
167,581,DESI ATTA DAHI VADA MIX 200g,DESI ATTA,North Indian Mixes,WEST,42.10810811 - 65.11607143
168,4196,KOSH FLOUR WHEAT OAT ATTA PP 5kg,KOSH,Multigrain Flour,EAST,144.9666667 - 290.0
169,4197,KOSH FLOUR WHEAT OAT ATTA PP 5kg,KOSH,Multigrain Flour,NORTH,144.9666667 - 290.0
170,4198,KOSH FLOUR WHEAT OAT ATTA PP 5kg,KOSH,Multigrain Flour,SOUTH,144.9666667 - 290.0
171,4199,KOSH FLOUR WHEAT OAT ATTA PP 5kg,KOSH,Multigrain Flour,WEST,144.9666667 - 290.0
172,1700,GH MAIDA 500g,GOLDEN HARVEST,Maida,EAST,17.22826767 - 28.49557913
173,1701,GH MAIDA 500g,GOLDEN HARVEST,Maida,NORTH,17.22826767 - 28.49557913
174,1702,GH MAIDA 500g,GOLDEN HARVEST,Maida,SOUTH,17.22826767 - 28.49557913
175,1703,GH MAIDA 500g,GOLDEN HARVEST,Maida,WEST,17.22826767 - 28.49557913
176,1953,GH POW SPICE KASHM CHILLI 200g,GOLDEN HARVEST,Chilli/Mirch Powder,EAST,68.23658537 - 122.1725176
177,1954,GH POW SPICE KASHM CHILLI 200g,GOLDEN HARVEST,Chilli/Mirch Powder,NORTH,68.23658537 - 122.1725176
178,1955,GH POW SPICE KASHM CHILLI 200g,GOLDEN HARVEST,Chilli/Mirch Powder,SOUTH,68.23658537 - 122.1725176
179,1956,GH POW SPICE KASHM CHILLI 200g,GOLDEN HARVEST,Chilli/Mirch Powder,WEST,68.23658537 - 122.1725176
180,2038,GH POWSPICECOCONUT 200g,GOLDEN HARVEST,Other Powdered Spice,EAST,60.16849817 - 109.2213542
181,2039,GH POWSPICECOCONUT 200g,GOLDEN HARVEST,Other Powdered Spice,NORTH,60.16849817 - 109.2213542
182,2040,GH POWSPICECOCONUT 200g,GOLDEN HARVEST,Other Powdered Spice,SOUTH,60.16849817 - 109.2213542
183,2041,GH POWSPICECOCONUT 200g,GOLDEN HARVEST,Other Powdered Spice,WEST,60.16849817 - 109.2213542
184,2806,GH TEJ PATTA 25g,GOLDEN HARVEST,Bay Leaf/Tej Patta W,EAST,8.222959522 - 14.23931624
185,2807,GH TEJ PATTA 25g,GOLDEN HARVEST,Bay Leaf/Tej Patta W,NORTH,8.222959522 - 14.23931624
186,2808,GH TEJ PATTA 25g,GOLDEN HARVEST,Bay Leaf/Tej Patta W,SOUTH,8.222959522 - 14.23931624
187,2809,GH TEJ PATTA 25g,GOLDEN HARVEST,Bay Leaf/Tej Patta W,WEST,8.222959522 - 14.23931624
188,3835,KARMIQ ALMOND PREMIUM PP 500g,KARMIQ,Almond,EAST,364.8736559 - 601.0938549
189,3836,KARMIQ ALMOND PREMIUM PP 500g,KARMIQ,Almond,NORTH,364.8736559 - 601.0938549
190,3837,KARMIQ ALMOND PREMIUM PP 500g,KARMIQ,Almond,SOUTH,364.8736559 - 601.0938549
191,3838,KARMIQ ALMOND PREMIUM PP 500g,KARMIQ,Almond,WEST,364.8736559 - 601.0938549
192,2932,GH WHO SPICE BIG SAUNF 200g,GOLDEN HARVEST,Fennel/Saunf Whole,EAST,50.05066079 - 78.43661972
193,2933,GH WHO SPICE BIG SAUNF 200g,GOLDEN HARVEST,Fennel/Saunf Whole,NORTH,50.05066079 - 78.43661972
194,2934,GH WHO SPICE BIG SAUNF 200g,GOLDEN HARVEST,Fennel/Saunf Whole,SOUTH,50.05066079 - 78.43661972
195,2935,GH WHO SPICE BIG SAUNF 200g,GOLDEN HARVEST,Fennel/Saunf Whole,WEST,50.05066079 - 78.43661972
196,1175,GH BESAN 1Kg,GOLDEN HARVEST,Besan,EAST,62.50016228 - 115.5516014
197,1176,GH BESAN 1Kg,GOLDEN HARVEST,Besan,NORTH,62.50016228 - 115.5516014
198,1177,GH BESAN 1Kg,GOLDEN HARVEST,Besan,SOUTH,62.50016228 - 115.5516014
199,1178,GH BESAN 1Kg,GOLDEN HARVEST,Besan,WEST,62.50016228 - 115.5516014
200,481,DESI ATTA CLASSIC DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,EAST,20.7390257 - 48.15686275
201,482,DESI ATTA CLASSIC DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,NORTH,20.7390257 - 48.15686275
202,483,DESI ATTA CLASSIC DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,SOUTH,20.7390257 - 48.15686275
203,484,DESI ATTA CLASSIC DOSA MIX PP 200g,DESI ATTA,South Indian Mixes,WEST,20.7390257 - 48.15686275
204,901,EKTAA NAVSARI POHA PP 1Kg,EKTAA,Poha/Avalakki/Chirwa,EAST,42.82608696 - 92.60405872
205,902,EKTAA NAVSARI POHA PP 1Kg,EKTAA,Poha/Avalakki/Chirwa,NORTH,42.82608696 - 92.60405872
206,903,EKTAA NAVSARI POHA PP 1Kg,EKTAA,Poha/Avalakki/Chirwa,SOUTH,42.82608696 - 92.60405872
207,904,EKTAA NAVSARI POHA PP 1Kg,EKTAA,Poha/Avalakki/Chirwa,WEST,42.82608696 - 92.60405872
208,3951,KARMIQ IN SHELL PISTA SALTED PP 500g,KARMIQ,Flavoured Pista,EAST,578.6885246 - 803.1937662
209,3952,KARMIQ IN SHELL PISTA SALTED PP 500g,KARMIQ,Flavoured Pista,NORTH,578.6885246 - 803.1937662
210,3953,KARMIQ IN SHELL PISTA SALTED PP 500g,KARMIQ,Flavoured Pista,SOUTH,578.6885246 - 803.1937662
211,3954,KARMIQ IN SHELL PISTA SALTED PP 500g,KARMIQ,Flavoured Pista,WEST,578.6885246 - 803.1937662
212,2875,GH WATANA WHITE 500g,GOLDEN HARVEST,Watana Whole,EAST,25.69836807 - 51.57282448
213,2876,GH WATANA WHITE 500g,GOLDEN HARVEST,Watana Whole,NORTH,25.69836807 - 51.57282448
214,2877,GH WATANA WHITE 500g,GOLDEN HARVEST,Watana Whole,SOUTH,25.69836807 - 51.57282448
